idencuesta,ola,version,muestra,cuestion_mig,cuestion_completo,formato,segmento,comuna,comuna_cod,region,region_cod,estrato,ponderador01,ponderador02,fact_exp01,fact_exp02,r05_01,r05_02,r06,r07,r08,r09,r10,r11,r12_01,r12_02,r12_03,r12_04,r12_05,r12_06,r12_07,r13_nredes,r13_sexo_01,r13_edad_01,r13_relacion_01,r13_tiempo_01,r13_barrio_01,r13_educ_01,r13_relig_01,r13_ideol_01,r13_contacto_01,r13_confia_01,r13_sexo_02,r13_edad_02,r13_relacion_02,r13_tiempo_02,r13_barrio_02,r13_educ_02,r13_relig_02,r13_ideol_02,r13_contacto_02,r13_confia_02,r13_sexo_03,r13_edad_03,r13_relacion_03,r13_tiempo_03,r13_barrio_03,r13_educ_03,r13_relig_03,r13_ideol_03,r13_contacto_03,r13_confia_03,r13_sexo_04,r13_edad_04,r13_relacion_04,r13_tiempo_04,r13_barrio_04,r13_educ_04,r13_relig_04,r13_ideol_04,r13_contacto_04,r13_confia_04,r13_sexo_05,r13_edad_05,r13_relacion_05,r13_tiempo_05,r13_barrio_05,r13_educ_05,r13_relig_05,r13_ideol_05,r13_contacto_05,r13_confia_05,r14,r15,r16,r17,r18_01,r18_02,t01,t02_01,t02_02,t02_03,t02_04,t03_01,t03_02,t03_03,t03_04,t05,t06_01,t06_02,t06_03,t06_04,t06_05,t06_06,t06_07,t06_08,t07_01,t07_02,t08,t09_01,t09_02,t09_03,t10,t11_01,t11_02,t11_03,t11_04,t13_01,t13_02,t13_03,t14,c01,c02,c03,c04,c05_01,c05_02,c05_03,c05_04,c05_05,c05_06,c05_07,c05_08,c05_09,c05_10,c05_11,c05_12,c05_13,c05_14,c06_01,c06_02,c06_03,c06_04,c06_05,c06_06,c08_01,c08_02,c08_03,c08_04,c08_05,c09_01,c09_02,c09_03,c09_04,c10_01,c10_02,c10_03,c12_01,c12_02,c12_03,c12_04,c12_05,c12_06,c12_07,c12_08,c12_09,c12_09_otro,c13,c14_01,c14_02,c15,c16,c16_otro,c17,c17_otro,c18_05,c18_08,c18_09,c18_10,c18_11,c18_13,c20,c20_otro,c21_01,c21_02,c21_03,c21_04,c21_05,c21_06,c21_07,c21_08,c21_09,c21_10,c21_11,c22,c23,c24,c25,c32_01,c32_02,c33,c34,c35_01,c35_02,c35_03,c35_04,c37_01,c37_02,c37_03,c37_04,c37_05,c37_06,c37_07,c37_08,c37_09,c37_10,c38,c40_01,c40_02,c40_03,c40_04,c40_05,c40_06,c41_01,c41_02,c41_03,c41_04,c42_01,c42_02,c42_03,c42_04,c46_01,c46_02,c46_03,c46_04,c46_05,c49_01,c49_02,c49_03,c49_04,c49_05,c49_06,c50,c51,c52,c53,c54,c55,c56,c57,d01_01,d01_02,d01_03,d01_04,d02_01,d02_02,d02_03,d03_01,d03_02,d04_01,d04_02,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d25_01,d25_02,d25_03,d25_04,d25_05,d25_06,d26_01,d26_02,d26_03,d26_04,d27_01,d27_02,d27_03,d27_04,d27_05,d28,g01_01,g01_02,g01_03,g01_04,g01_05,g02_01,g02_02,g02_03,g02_04,g02_05,g03_01,g03_02,f04_01,f04_02,f05_01,f05_02,f05_03,f05_04,f05_05,f05_06,f05_07,f06_01,f06_02,f07_01,f07_02,f08_01,f08_02,f08_03,f08_04,f08_05,f08_06,f09_01,f09_02,f09_03,s01,s02,s03,s11_01,s11_02,s11_03,s11_04,s11_05,s11_06,s11_07,s11_08,s11_09,s13_01,s13_02,s13_03,s13_04,s13_05,s13_06,s13_07,s13_08,s16,s17,s18,s19_01,s19_02,s19_03,s19_04,s19_05,s19_01_fecha,s19_02_fecha,s19_03_fecha,s19_04_fecha,s19_05_fecha,s20,s21,s22_01,s22_02,s22_03,s22_04,s22_05,s22_06,s22_07,s22_08,s22_09,s22_10,s23_01,s23_02,s23_03,s23_04,s23_05,s24_01,s24_02,s24_03,s26_01,s26_02,s26_03,s26_04,s26_05,s26_06,s27,s28,s29,s30_01,s30_02,s30_03,s30_04,s30_05,s30_06,s30_07,s30_08,s31,m0_sexo,m0_edad,m01,m02,m13,m14,m14b,m15,m16,m29,m30,m30b,m36,m36_otro,m38,m38_otro,m39,m41,m45,m53,m53_otro,m57,m58,m59,m66_01,sexo_enc,edad_enc,nac_enc,educ_enc,exp_campo_enc,fecha_entr,mod_t_dur,mod_r_dur,mod_c_dur,mod_d_dur,mod_f_dur,mod_g_dur,mod_s_dur,mod_m_dur,otros_dur,total_dur
1101011,6,202201,1,2,1,1,110101,Iquique,1101,Tarapaca,1,4,2.5540380477905273,1.9345107078552246,22198.09375,16813.55078125,2,1,2,4,1,3,1,4,4,4,3,4,4,4,4,3,2,50,5,5,1,3,2,6,1,3,2,65,5,5,1,3,1,6,1,3,2,69,5,5,1,3,2,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,3,4,3,4,4,4,4,2,4,4,4,3,2,4,4,2,4,4,4,4,4,4,2,2,2,2,4,1,1,1,1,11,13,12,1,2,2,2,3,3,1,2,4,3,1,1,2,1,2,5,3,2,1,1,1,1,3,-888,2,1,1,1,1,1,1,1,1,1,5,5,5,3,1,1,1,1,1,1,1,1,NA,1,2,2,12,15,NA,5,NA,4,4,2,3,4,4,9,NA,4,4,4,4,4,3,4,4,4,3,3,2,2,2,1,5,5,NA,NA,NA,NA,NA,NA,4,2,5,2,5,2,4,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2,5,5,6,1,2,2,2,15000000,350000,5000000,1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,NA,NA,1,1,2,2,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,3,4,3,2,1,1,2,1,2,2,1,2,2,2,2,2,1,60,1,1,2,1,2,2,2010,NA,2012,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,5,1,1,4,1,1,1,1,0,0,NA,4,2,4,4,4,4,3,4,1,2,70,2,5,NA,NA,NA,NA,NA,200000,NA,NA,1,NA,1,NA,2,2,1,10,NA,albañil,5,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-14,2.7166666984558105,4.566666603088379,28.233334064483643,1.3166667222976685,0.949999988079071,1.4500000476837158,5.266666445881128,1.3833333253860474,5.316666608676314,51.20000457763672
1101012,6,202201,1,2,1,1,110101,Iquique,1101,Tarapaca,1,4,1.2770190238952637,0.9672553539276123,11099.046875,8406.775390625,2,1,2,3,1,3,2,4,3,3,4,4,3,3,4,2,2,68,4,5,1,3,1,6,1,3,2,70,4,5,1,3,2,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,4,5,4,4,4,4,4,4,4,4,4,5,5,2,4,4,4,4,4,4,4,4,1,2,2,3,3,1,1,1,5,11,13,1,3,2,1,2,3,1,3,1,3,1,3,2,2,3,5,3,3,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,5,5,5,2,1,1,1,1,1,1,1,1,NA,3,1,3,12,15,NA,5,NA,4,4,3,4,5,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,3,2,5,4,5,4,3,4,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2,5,5,8,1,2,2,2,3000000,500000,2000000,600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,4,4,4,NA,NA,1,1,2,2,1,3,1,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,30,5,2,1,1,2,2,NA,2022,2019,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,5,1,1,3,1,1,1,1,0,0,NA,5,4,4,4,4,4,4,4,1,2,67,5,5,NA,NA,NA,NA,NA,210000,NA,NA,1,NA,1,NA,5,2,1,2,NA,panadero,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-13,4.0333333015441895,3.4166667461395264,28.733333587646484,8.5,0.9333333373069763,0.8333333134651184,4.416666507720947,1.5666667222976685,1.5500000156462193,53.983333587646484
1101023,6,202201,1,2,1,1,110102,Iquique,1101,Tarapaca,1,4,0.2926501929759979,0.4288634955883026,2543.531494140625,3727.411865234375,2,2,4,4,1,2,1,3,3,3,5,5,2,3,4,1,1,-999,3,5,1,2,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,4,2,5,5,3,4,4,4,4,4,3,3,2,2,2,4,4,4,4,2,2,4,5,4,5,3,1,1,1,1,12,11,5,1,2,2,2,1,4,1,4,1,3,1,1,4,4,3,4,3,4,3,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,4,4,4,3,1,1,1,1,1,1,1,1,NA,3,3,4,12,15,NA,5,NA,4,4,3,3,4,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,NA,NA,NA,NA,NA,NA,1,4,5,4,5,2,4,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,4,2,NA,NA,NA,NA,NA,NA,1,-999,1,-999,1,-999,NA,NA,4,5,8,1,2,2,2,9000000,350000,3000000,800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,4,4,5,2,5,5,5,NA,NA,3,1,5,5,5,4,1,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,7,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,0,NA,5,4,5,5,5,4,5,5,2,1,67,4,1,600000,NA,NA,1800000,2,600000,NA,NA,1,NA,1,NA,6,2,1,10,NA,ejecutivo de banco,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-08,4.199999809265137,2.7666666507720947,6.949999809265137,1.6333333253860474,0.949999988079071,0.8166666626930237,4.199999809265137,2.1666667461395264,2.0666667222976685,25.75
1101041,6,202201,1,2,1,1,110104,Iquique,1101,Tarapaca,1,4,3.2256555557250977,4.727028846740723,28035.37109375,41084.36328125,1,1,1,NA,NA,3,1,4,1,1,4,2,4,4,4,3,1,59,5,4,2,3,1,3,1,3,2,38,1,5,1,3,4,6,1,3,1,44,5,5,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,4,3,4,4,4,4,4,4,4,3,4,2,4,2,2,2,4,4,2,2,2,2,4,4,5,4,4,1,1,4,11,5,2,1,1,2,2,2,2,1,5,3,3,2,1,2,3,3,5,2,2,1,1,1,1,3,4,1,1,1,1,1,1,4,4,4,1,5,5,5,1,1,1,3,1,1,1,1,1,NA,4,4,5,5,15,NA,5,NA,2,5,2,2,4,2,7,NA,4,4,4,2,4,4,3,4,4,3,4,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,3,1,4,2,5,2,4,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,5,5,7,0,4,2,2,25000000,380000,3500000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,1,5,2,4,5,4,NA,NA,3,1,5,5,1,1,1,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,7,NA,4,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,5,5,1,1,1,5,3,3,1,2,0,NA,4,4,4,4,4,4,5,4,2,1,45,8,1,1000000,NA,NA,1600000,2,1000000,NA,NA,2,NA,7,NA,NA,2,1,10,NA,operario en pesquera,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-22,3.9000000953674316,3.5,8.749999761581421,1.5,1.0166666507720947,0.9666666388511658,4.133333206176758,1.7666666507720947,1.3059202650835817,26.83925437927246
1101081,6,202201,1,2,1,1,110108,Iquique,1101,Tarapaca,1,4,2.3412017822265625,3.430908203125,20348.25390625,29819.296875,2,1,3,5,1,3,1,4,3,3,2,5,1,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,4,2,2,4,4,4,4,3,3,4,3,3,3,3,4,4,1,2,5,13,8,1,3,2,2,2,3,1,3,3,1,3,1,1,1,4,4,4,4,-888,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,5,5,5,3,1,1,3,1,1,1,1,1,NA,2,3,4,5,15,NA,5,NA,4,4,2,4,4,2,3,NA,4,4,4,4,4,3,3,-888,4,3,4,1,1,1,3,5,5,NA,NA,NA,NA,NA,NA,1,5,5,4,5,1,4,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,NA,NA,NA,NA,NA,NA,1,-999,1,-999,1,NA,1,2,7,3,7,0,2,2,2,3000000,380000,2000000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,1,2,2,5,5,4,NA,NA,3,1,4,1,1,4,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,30,2,1,1,2,2,2,2011,2011,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,1,3,1,1,1,1,0,0,NA,3,4,4,4,4,4,2,2,1,1,76,2,5,NA,NA,NA,NA,NA,280000,NA,NA,1,NA,1,NA,5,1,1,10,NA,ferroviario,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-23,2.9000000953674316,2,9.800000190734863,1.399999976158142,1.1333333253860474,0.7666666731238365,4.166666507720947,1.2833333015441895,1.9326886273893804,25.382686614990234
1101082,6,202201,1,1,1,1,110108,Iquique,1101,Tarapaca,1,4,1.7559010982513428,1.3299758434295654,15261.1884765625,11559.314453125,3,2,4,4,2,4,1,5,4,4,2,4,4,4,4,3,2,63,4,5,2,2,1,6,1,3,2,48,3,5,2,5,1,6,1,3,2,22,2,5,2,5,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,1,1,1,4,1,1,1,1,8,12,13,2,2,2,2,3,1,1,2,1,2,2,2,1,2,4,5,3,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,5,5,5,3,3,1,1,1,1,1,1,1,NA,3,3,3,12,15,NA,5,NA,5,3,2,2,2,2,1,NA,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,3,4,3,4,4,2,4,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,NA,NA,5,6,7,3,4,4,4,4000000,350000,3000000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,4,5,5,4,NA,NA,1,1,1,1,1,1,1,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,3,1,8,1,2,2,2,2,2019,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,5,5,1,1,4,4,4,4,2,2,0,NA,5,4,4,4,4,4,4,4,1,2,61,5,2,400000,NA,NA,600000,3,400000,NA,NA,4,NA,1,NA,5,1,1,2,NA,transportista,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-23,2.1666667461395264,5.050000190734863,15.883333206176758,1.5833333730697632,0.5166666507720947,0.4833333492279053,3.0333333015441895,1.4333332777023315,2.6846275382396474,32.834625244140625
1101102,6,202201,1,2,1,1,110110,San Fernando,6301,Ohiggins,6,4,0.5016859769821167,0.3799930810928345,4360.33935546875,3302.6611328125,1,1,2,3,1,2,2,3,3,3,4,4,2,2,4,1,1,68,1,5,2,4,1,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,4,4,1,2,2,2,3,2,3,1,2,4,3,1,4,4,5,4,5,5,5,4,1,1,1,5,2,1,1,1,12,7,4,2,1,2,2,1,1,1,4,5,3,3,1,1,1,4,5,3,3,1,1,1,1,4,5,2,1,1,1,1,1,3,1,1,1,4,4,4,1,1,1,1,1,3,1,1,1,NA,1,2,4,5,15,NA,5,NA,5,3,1,1,5,1,8,NA,5,5,2,4,5,3,3,4,2,2,3,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA,1,1,5,1,5,5,5,3,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,4,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,4,NA,NA,6,6,8,2,1,1,1,30000000,300000,3000000,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,2,1,5,2,4,5,4,NA,NA,1,1,1,1,1,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,3,1,2,1,1,1,1,2,2,1,2,2,2,2,2,7,NA,3,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,2,1,5,1,1,1,2,3,5,4,1,2,0,NA,5,4,5,3,2,3,1,3,2,2,67,7,7,NA,NA,NA,NA,NA,1000000,NA,NA,1,NA,9,NA,NA,1,1,10,NA,empleado particular,1,1,1,Femenino,60,Chilena,Educación Media-Técnico Profesional,Si,2022-08-11,9.283333778381348,7.866666555404663,25.71666717529297,26.933332443237305,2.1500000953674316,1.9666666984558105,11.883333206176758,3.9833333492279053,9.16666679829359,98.94999694824219
1101103,6,202201,1,1,1,1,110110,Iquique,1101,Tarapaca,1,4,0.33445730805397034,0.49012964963912964,2906.892822265625,4259.89892578125,3,3,5,5,1,4,1,5,4,4,1,5,5,5,4,3,1,40,3,5,1,3,1,6,1,3,1,80,3,5,1,1,1,6,1,3,1,33,4,5,2,3,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,3,5,3,3,4,3,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,2,4,1,4,2,2,2,1,2,2,5,14,11,1,2,2,2,3,2,3,4,4,4,4,3,3,3,3,5,3,4,2,3,3,3,5,3,3,1,1,1,1,1,2,2,2,2,5,5,5,3,1,1,3,1,3,1,1,1,NA,2,4,3,12,15,NA,5,NA,4,3,3,3,5,3,7,NA,4,4,4,4,4,3,5,4,4,3,5,2,2,2,1,5,5,NA,NA,NA,NA,NA,NA,5,2,5,3,5,1,4,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,-999,-999,NA,-999,NA,-999,NA,6,8,5,3,3,1,1,4000000,350000,4000000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,2,3,2,5,1,4,NA,NA,1,1,4,1,1,3,1,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,7,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,1,5,5,1,3,2,1,3,3,1,4,0,NA,4,2,4,4,4,4,3,5,1,1,41,5,1,400000,NA,NA,600000,3,400000,NA,NA,4,NA,1,NA,7,1,1,10,NA,atención de publico,5,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-09,4.4666666984558105,4.566666603088379,12.266666412353516,1.600000023841858,1.4833333492279053,1.8333333730697632,4.016666889190674,1.9666666984558105,2.266666704788804,34.46666717529297
1101111,6,202201,1,2,1,1,110111,Iquique,1101,Tarapaca,1,4,1.5608010292053223,1.1822009086608887,13565.501953125,10274.947265625,4,1,2,3,2,3,1,3,1,3,4,4,4,4,4,4,2,58,4,4,1,3,1,6,1,2,1,60,4,4,1,3,1,5,1,2,2,69,4,4,1,3,1,6,1,3,1,43,1,5,1,3,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,4,2,3,1,1,1,1,1,3,1,1,1,1,5,1,1,4,4,4,2,3,3,1,5,5,5,1,5,2,2,5,7,6,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,NA,2,2,2,5,15,NA,5,NA,5,2,4,4,5,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,2,5,5,5,5,4,5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,4,NA,NA,5,2,8,0,1,1,1,1000000,350000,900000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,3,5,5,5,NA,NA,1,1,3,1,4,1,1,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,7,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,5,1,4,2,2,2,2,2,2,0,NA,5,5,5,5,5,5,5,5,2,2,31,5,1,500000,NA,NA,800000,2,500000,NA,NA,2,NA,1,NA,6,1,2,10,NA,cocinera,1,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-08-24,19.749999523162842,13.749999523162842,14.295620296503843,1.3333333730697632,1.3333333730697632,0.75,3.7333333492279053,4.833333492279053,2.533333355560899,62.31228256225586
1101113,6,202201,1,1,1,1,110111,Iquique,1101,Tarapaca,1,4,0.39020025730133057,0.5718179941177368,3391.37548828125,4969.8828125,4,2,5,5,1,3,2,5,4,4,1,3,4,4,5,3,2,40,1,5,1,3,1,6,1,3,1,72,3,5,1,3,1,6,1,3,2,68,3,5,1,3,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,3,4,5,5,4,4,4,4,4,3,3,3,2,5,2,2,4,4,4,4,4,2,2,5,5,5,4,5,5,1,5,5,9,6,1,5,2,2,2,3,3,4,3,4,4,4,4,4,4,5,4,4,2,1,1,1,3,5,5,1,1,1,1,1,3,1,3,3,5,5,5,3,3,1,1,1,3,3,1,1,NA,2,3,3,12,15,NA,5,NA,4,4,3,3,5,2,10,NA,5,5,3,3,5,5,4,4,4,4,4,1,1,1,2,5,5,NA,NA,NA,NA,NA,NA,2,2,5,5,4,4,4,5,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,1,NA,NA,5,5,8,3,4,2,2,2000000,500000,1000000,600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,5,2,5,5,4,NA,NA,3,3,4,2,1,1,1,3,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,7,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,5,5,1,3,4,2,1,1,4,0,0,NA,5,5,4,4,4,4,4,4,1,1,40,5,1,800000,NA,NA,800000,4,800000,NA,NA,2,NA,1,NA,5,1,1,1,NA,desabollador y pintor,5,2,1,Femenino,38,Chilena,Educación Media-Técnico Profesional,Si,2022-09-22,4.599999904632568,4.416666507720947,9.916666507720947,2.066666603088379,1.0666667222976685,1.0666667222976685,3.9166667461395264,1.850000023841858,1.9500000178813934,30.85000228881836
